FactKey,InvoiceNo,CustomerKey,ProductKey,HolidayKey,ExchangeKey,TrafficKey,ShippingKey,Quantity,UnitPrice,TotalAmount,Country
d908a071-7743-4c80-a992-4dad719bd5e7,568200,2157,15155,,34,4,,1,0.001,0.001,United Kingdom
e954edbc-b24f-4ae2-8492-afcce5a9dc8f,561226,4335,15155,,34,4,,1,0.001,0.001,United Kingdom
41073a23-c645-472e-a49a-451af30da2cd,550193,811,15155,,34,4,,1,0.001,0.001,United Kingdom
3a1d460c-accf-4b62-8600-3c4c7c0d2f6e,571312,3748,125,,20,936,,200,0.04,8.0,Germany
7972871d-e8d1-4b4a-973d-c519e651e8a2,578126,3574,126,,34,4,,200,0.04,8.0,United Kingdom
a2cb231b-eb0f-4e68-9655-755a00af086e,571308,3512,125,,20,936,,200,0.04,8.0,Germany
fa99ca66-a959-4b8e-ab41-823a187e7883,569900,4132,125,,34,4,,200,0.04,8.0,United Kingdom
e17d9b2a-a4c7-4e7a-ad4e-78f5cc688df4,573399,677,126,,34,4,,200,0.04,8.0,United Kingdom
925de55f-f379-479f-897f-52c1cb750908,570269,1472,125,,34,4,,200,0.04,8.0,United Kingdom
98a95f24-f8e6-4528-b193-3fc4a5c7ca5b,561870,16,125,,21,5425,,200,0.04,8.0,EIRE
c2156d5b-c209-4286-89a8-c86275ff07f8,571937,16,125,,21,5425,,200,0.04,8.0,EIRE
e11fb3a2-2f09-43bd-ae02-49c01a6dc5c8,558389,3424,126,,34,4,,200,0.04,8.0,United Kingdom
b024b59a-43ff-4cc3-b44f-e46746022bee,561625,379,126,,34,4,,200,0.04,8.0,United Kingdom
9b42aed9-bcb0-4eac-8a9b-c3b984ad6322,576076,426,125,,34,4,,200,0.04,8.0,United Kingdom
259c3fc1-94e9-4671-9c3e-b92818d0e319,557639,2953,126,,34,4,,200,0.04,8.0,United Kingdom
8c606909-6227-41e8-8011-acaff88a4f9e,570082,3751,125,,20,936,,200,0.04,8.0,Germany
a1c39f56-5d48-40a9-851c-9c7254f61782,574025,1298,125,,34,4,,200,0.04,8.0,United Kingdom
e959e79b-a89d-4ec6-ac6a-824ea7ef052c,579124,1973,126,17,34,4,,200,0.04,8.0,United Kingdom
fd473499-de6f-4fb4-8583-0f1167336973,573486,3073,125,11,34,4,,200,0.04,8.0,United Kingdom
b1450f50-c9b2-406e-bbe3-f95c239639d1,569635,1298,125,,34,4,,200,0.04,8.0,United Kingdom
fe0c8108-9869-4521-973f-54a777f5636e,577057,1298,126,,34,4,,200,0.04,8.0,United Kingdom
d6f1fb13-78b9-4f10-99f7-44b3fbaf83ee,557492,3625,126,,34,4,,200,0.04,8.0,United Kingdom
0e7076c1-cc08-4f19-af1a-1f089bc8a58b,560300,16,126,,21,5425,,200,0.04,8.0,EIRE
25a4a030-fb23-45ae-9dd5-b35caa5a2445,565460,379,126,,34,4,,200,0.04,8.0,United Kingdom
944a9c5e-c86d-4f3c-8b7e-d2cd66b8b39a,566233,2282,126,,20,936,,200,0.04,8.0,Germany
6a4e7c2f-e691-4263-9538-6ce5065eb4f6,563440,2436,125,,34,4,,200,0.04,8.0,United Kingdom
